sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1708381751000,12.1667,0,0,63,0,0,382.0133974760407,29.167
1708385652000,11.6667,6.43738,0,65,0,0,382.76903616436095,29.154
1708389853000,10.8889,1.60934,0,71,0,0,382.8497973008797,29.147
1708394054000,10.2778,0,0,70,0,0,382.922585735363,29.149
1708398255000,10,4.82803,0,72,0,0,382.73277538146306,29.132
1708402457000,9.83333,1.60934,0,74,0,0,382.9220853565741,29.127
1708406658000,9.16667,1.60934,0,78,0,0,382.8795865181087,29.124
1708410859000,9.22222,3.21869,0,78,0,0,381.65285787938853,29.126
1708414760000,10.6111,6.43738,104,70,0,0,381.37471398996536,29.118
1708418961000,13.3333,3.21869,311,64,0,0,382.50647073456366,29.131
1708423162000,16.2778,3.21869,408,55,0,0,382.92432038183097,29.129
1708427063000,19.7778,6.43738,575,46,0,0,423.3591630605133,29.109
1708430964000,21.6667,14.4841,612,40,0,0,422.9653649536962,29.071
1708433319000,22.1111,16.0934,601,40,0,0,389.31822726280006,29.052
1708435730000,22.1667,16.0934,564,40,0,0,387.58888480998314,29.028
1708436930000,22.2222,19.3121,534,43,0,0,386.8395175358164,29.019
1708438143000,22.0556,19.3121,497,44,0,0,423.1576438429544,29.018
1708440563000,20.5556,19.3121,424,48,0,0,427.0223027392671,29.016
1708441779000,19.8333,19.3121,378,51,0,0,425.365081549215,29.018
1708442979000,19.2222,20.9215,329,53,0,0,425.51903142324807,29.018
1708444183000,18.8889,16.0934,278,52,0,0,426.2743031671232,29.018
1708445383000,18.6667,22.5308,223,53,0,0,388.37744842260895,29.023
1708446583000,18.1111,17.7028,156,53,0,0,385.4147389724734,29.018
1708447511000,17.8889,16.0934,105,54,0,0,386.9283514501285,29.018
1708448716000,17.4444,17.7028,53,57,0,0,385.46274197761613,29.015
1708449656000,17,16.0934,18,59,0,0,384.14364341447623,29.015
1708453857000,15.5,0,0,68,0,0,381.7733824503272,29.062
1708457758000,14.6111,6.43738,0,67,0,0,381.39292777787915,29.061
1708461959000,14.1667,1.60934,0,66,0,0,380.1821445432301,29.083
1708466160000,12.3889,1.60934,0,73,0,0,381.9967181830794,29.086
1708470361000,12.2778,3.21869,0,66,0,0,382.66582469951624,29.08
1708474262000,11.7222,6.43738,0,69,0,0,382.6019096488884,29.077
1708478463000,11,0,0,70,0,0,383.0142884880644,29.073
1708482664000,10.0556,3.21869,0,76,0,0,382.41650262833025,29.082
1708486865000,9.72222,6.43738,0,68,0,0,382.6373698257242,29.062
1708491066000,7.88889,1.60934,0,71,0,0,383.276753842104,29.07
1708495267000,8.33333,0,0,73,0,0,384.704034299391,29.07
1708499469000,7.38889,1.60934,30,79,0,0,384.094572934584,29.071
1708503669000,10.7222,3.21869,243,65,0,0,428.60703572210923,29.087
